Jugador: , Puntaje: 100
Jugador: , Puntaje: 100
Jugador: , Puntaje: 100
Jugador: juan
, Puntaje: 100
Jugador: juan, Puntaje: 100
Jugador: juan, Puntaje: 100
Jugador: , Puntaje: 100
Jugador: martin, Puntaje: 100
Jugador: martin, Puntaje: 0
Jugador: , Puntaje: 100
Jugador: , Puntaje: 0
Jugador: , Puntaje: 0
Jugador: , Puntaje: 0
Jugador: , Puntaje: 100
Jugador: , Puntaje: 100
Jugador: , Puntaje: 0
Jugador: , Puntaje: 100
Jugador: , Puntaje: 100
Jugador: , Puntaje: 0
Jugador: jose, Puntaje: 100
Jugador: jose, Puntaje: 0
Jugador: williams, Puntaje: 0
Jugador: , Puntaje: 0
Jugador: juan, Puntaje: 100
Jugador: juan, Puntaje: 0
Jugador: , Puntaje: 100
Jugador: , Puntaje: 0
Jugador: miguel, Puntaje: 100
Jugador: miguel, Puntaje: 0
Jugador: , Puntaje: 100
Jugador: , Puntaje: 0
